rerank_log_index,eval_query_index,logged_normalized_query,benchmark_query,gold_intent,tier,similarity
0,1,what is the balance in my savings account,What is the balance in my savings account,acc_check_balance,clean,1.000
1,2,show mein my current account balance,Show me my current account balance,acc_check_balance,clean,0.971
2,4,balance dekh lo mera jldi se,balnce dekh lo mera jldi se,acc_check_balance,messy,0.982
3,5,paiso ka hisab batao zra,paiso ka hisab btao zra,acc_check_balance,messy,0.979
4,6,account mein kitna pada hai abhi,accnt me kitna pada h abhi,acc_check_balance,messy,0.897
5,7,kitna paisa hai mere account mein,kitna paisa hai mere account me,acc_check_balance,messy,0.969
6,8,balance check karna hai jldi,balance check krna h jldi,acc_check_balance,messy,0.943
7,9,mera balance kitna bacha hai,mera balanc kitna bacha h,acc_check_balance,messy,0.943
8,10,mere paas kitne hai,mere pas kitne h,acc_check_balance,adversarial,0.914
9,11,pese hai ya nahi,pese h ya nhi,acc_check_balance,adversarial,0.897
10,12,account mein kya scene hai,account me kya scene h,acc_check_balance,adversarial,0.917
11,13,kitna bacha mera,kitna bacha mera,acc_check_balance,adversarial,1.000
12,14,meri jeb mein kitna hai bank wale,meri jeb me kitna h bank wale,acc_check_balance,adversarial,0.935
13,15,show my mini statement,Show my mini statement,acc_mini_statement,clean,1.000
14,16,show last 5 transactions,Show last 5 transactions,acc_mini_statement,clean,1.000
15,17,i want to see my recent transactions,I want to see my recent transactions,acc_mini_statement,clean,1.000
16,18,mini statemnt batao last 5 transaction,mini statemnt btao last 5 txn,acc_mini_statement,messy,0.836
17,19,pichli 5 transction batao meri,pichli 5 transction btao meri,acc_mini_statement,messy,0.983
18,20,recent transactions dikhao zra,recent txns dikhao zra,acc_mini_statement,messy,0.808
19,21,kya kya hua hai mere account mein,kya kya hua h mere account me,acc_mini_statement,messy,0.935
20,22,last few transactions batao,last few transactions btao,acc_mini_statement,messy,0.981
21,23,haal ki activity dikhao account ki,haal ki activity dikhao account ki,acc_mini_statement,messy,1.000
22,24,statemnt chahiye chota wala,statemnt chahiye chota wala,acc_mini_statement,messy,1.000
23,25,kya hua mera paisa,kya hua mera paisa,acc_mini_statement,adversarial,1.000
24,26,hisab dikhao,hisab dikhao,acc_mini_statement,adversarial,1.000
25,27,pichle hafte kya kya kata,pichle hafte kya kya kata,acc_mini_statement,adversarial,1.000
26,28,recent wala dikhao,recent wala dikhao,acc_mini_statement,adversarial,1.000
27,29,paiso ka lena dena dikhao,paiso ka lena dena dikhao,acc_mini_statement,adversarial,1.000
28,33,account band krwana hai mera,accnt band krwana h mera,acc_close_account,messy,0.923
29,38,bank account band krwana chahta hu,bank account band krwana chahta hu,acc_close_account,messy,1.000
30,39,account closure ka process batao,ac closure ka process btao,acc_close_account,messy,0.897
31,40,sab khatam karo mera,sab khatam karo mera,acc_close_account,adversarial,1.000
32,41,nahi rakhna ye account,nahi rakhna ye account,acc_close_account,adversarial,1.000
33,42,band karo sab kuch,band karo sab kuch,acc_close_account,adversarial,1.000
34,43,chhod raha hu bank,chhod raha hu bank,acc_close_account,adversarial,1.000
35,44,mujhe ye account nahi chahiye ab,mujhe ye account nahi chahiye ab,acc_close_account,adversarial,1.000
36,48,credit card block kr do turt,credit card blok kr do turt,cc_block_card,messy,0.982
37,49,credit card band kardo yaar kho gya hai,cc band krdo yaar kho gya h,cc_block_card,messy,0.818
38,50,mera card card chori ho gya block karo,mera crd card chori ho gya block karo,cc_block_card,messy,0.987
39,52,card block krwana hai mera credit wala,card blck krwana h mera credit wala,cc_block_card,messy,0.959
40,53,credit card band karo turant,credit card band karo turant,cc_block_card,messy,1.000
41,55,card lost ho gaya mera credit wala,card gayab ho gaya mera credit wala,cc_block_card,adversarial,0.870
42,56,kisi ne mera credit card use kar liya rok do,kisi ne mera cc use kar liya rok do,cc_block_card,adversarial,0.886
43,57,credit card safe nahi hai band karo,credit card safe nahi hai band karo,cc_block_card,adversarial,1.000
44,58,credit card pe fraud ho rha hai band karo,cc pe fraud ho rha h band kro,cc_block_card,adversarial,0.829
45,59,mera plastic card rok do credit wala,mera plastic card rok do credit wala,cc_block_card,adversarial,1.000
46,60,unblock my credit card,Unblock my credit card,cc_unblock_card,clean,1.000
47,61,please reactivate my credit card,Please reactivate my credit card,cc_unblock_card,clean,1.000
48,62,i want to unblock my blocked credit card,I want to unblock my blocked credit card,cc_unblock_card,clean,1.000
49,63,credit card unblock kardo mera,cc unblock krdo mera,cc_unblock_card,messy,0.800
50,64,credit card phir se chalu karo,credit card phir se chalu karo,cc_unblock_card,messy,1.000
51,65,card reactivate karna hai credit wala,card reactivate krna h credit wala,cc_unblock_card,messy,0.958
52,66,mera credit card block hai usko kholo,mera cc block h usko kholo,cc_unblock_card,messy,0.825
53,67,credit card wapas chalu kardo,credit card wapas chalu krdo,cc_unblock_card,messy,0.982
54,68,blocked credit card ko unblock karo please,blocked cc ko unblock karo plz,cc_unblock_card,messy,0.806
55,69,credit card enable karo dobara,cc enable karo dobara,cc_unblock_card,messy,0.824
56,70,credit card phir se use karna hai,credit card phir se use krna h,cc_unblock_card,adversarial,0.952
57,71,mera credit card kaam nahi kr rha chalu karo,mera cc kaam nahi kr rha chalu karo,cc_unblock_card,adversarial,0.886
58,72,card band tha ab kholo,card band tha ab kholo,cc_unblock_card,adversarial,1.000
59,73,dobara activate karo credit card,dobara activate karo credit card,cc_unblock_card,adversarial,1.000
60,74,credit card chalana hai wapas,cc chalana h wapas,cc_unblock_card,adversarial,0.766
61,75,show my credit card statement,Show my credit card statement,cc_view_statement,clean,1.000
62,76,i want to see my credit card bill,I want to see my credit card bill,cc_view_statement,clean,1.000
63,77,display my credit card statement for this month,Display my CC statement for this month,cc_view_statement,clean,0.894
64,78,credit card ka statemnt dikhao,cc ka statemnt dikhao,cc_view_statement,messy,0.824
65,79,credit card ka bill kitna aaya,credit card ka bill kitna aaya,cc_view_statement,messy,1.000
66,80,credit card bill dikhao zra pichle mahine ka,cc bill dikhao zra pichle mahine ka,cc_view_statement,messy,0.886
67,81,credti card ka statemnt bhejo,credti card ka statemnt bhjo,cc_view_statement,messy,0.982
68,82,credit card ka bill batao is month ka,cc ka bill btao is month ka,cc_view_statement,messy,0.844
69,83,mera credit card statement chahiye,mera credit card statement chahiye,cc_view_statement,messy,1.000
70,84,credit card ka hisab batao kitna kata,cc ka hisab btao kitna kata,cc_view_statement,messy,0.844
71,85,credit card pe kitna kharch hua,credit card pe kitna kharch hua,cc_view_statement,adversarial,1.000
72,86,credit card pe kya kya laga hai,cc pe kya kya laga hai,cc_view_statement,adversarial,0.830
73,87,credit card ka lena dena batao,credit card ka lena dena btao,cc_view_statement,adversarial,0.983
74,88,is mahine credit card pe kitna gaya,is mahine cc pe kitna gaya,cc_view_statement,adversarial,0.852
75,89,mere credit card ka sara record dikhao,mere cc ka sara record dikhao,cc_view_statement,adversarial,0.866
76,90,pay my credit card bill,Pay my credit card bill,cc_pay_bill,clean,1.000
77,91,i want to pay my credit card outstanding amount,I want to pay my CC outstanding amount,cc_pay_bill,clean,0.894
78,92,make payment for my credit card,Make payment for my credit card,cc_pay_bill,clean,1.000
79,93,credit card ka bill pay karo,cc ka bill pay karo,cc_pay_bill,messy,0.809
80,94,credit card ka paisa bharo,credit card ka paisa bharo,cc_pay_bill,messy,1.000
81,95,credit card bill payment karna hai,cc bill payment krna h,cc_pay_bill,messy,0.786
82,96,credit card ka outstanding bharo,credit card ka outstanding bharo,cc_pay_bill,messy,1.000
83,97,credit card ka bill de do mera,cc ka bill de do mera,cc_pay_bill,messy,0.824
84,98,credit card ka bkaya chuka do,credit card ka bkaya chuka do,cc_pay_bill,messy,1.000
85,99,mera credit card ka dues pay kardo,mera cc ka dues pay krdo,cc_pay_bill,messy,0.828
86,100,credit card ka paisa wapas karo,cc ka paisa wapas karo,cc_pay_bill,adversarial,0.830
87,101,credit card ka hisab clear karo,credit card ka hisab clear karo,cc_pay_bill,adversarial,1.000
88,102,credit card pe jo baki hai wo de do,cc pe jo baki h wo de do,cc_pay_bill,adversarial,0.814
89,103,credit card ka outstanding utaaro,credit card ka karza utaaro,cc_pay_bill,adversarial,0.767
90,104,credit card zero karo mera,cc zero karo mera,cc_pay_bill,adversarial,0.791
91,105,increase my credit card limit,Increase my credit card limit,cc_limit_increase,clean,1.000
92,106,i want a higher credit limit,I want a higher credit limit,cc_limit_increase,clean,1.000
93,107,please raise my credit card spending limit,Please raise my credit card spending limit,cc_limit_increase,clean,1.000
94,108,credit card ki limit badhao meri please,cc ki limit badhao meri plz,cc_limit_increase,messy,0.788
95,109,credit limit increase chahiye 200000 ki,credit lmt increase chahye 2 lakh ki,cc_limit_increase,messy,0.827
96,110,mera credit card limit badha do,mera cc limit badha do,cc_limit_increase,messy,0.830
97,111,credit card ki limit kam pad rhi hai badhao,credit card ki limit kam pad rhi h badhao,cc_limit_increase,messy,0.976
98,112,credit card ka limit zyada karo,cc ka limit zyada karo,cc_limit_increase,messy,0.830
99,113,credit card pe aur limit chahiye,credit card pe aur limit chahiye,cc_limit_increase,messy,1.000
100,114,limit increase kardo credit card ka,limit increase krdo cc ka,cc_limit_increase,messy,0.833
101,115,credit card pe zyada kharcha karna hai limit badhao,cc pe zyada kharcha krna h limit badhao,cc_limit_increase,adversarial,0.867
102,116,credit card chhota pad rha hai,credit card chhota pad rha h,cc_limit_increase,adversarial,0.966
103,117,mera credit card se bada payment nahi ho rha,mera cc se bada payment nahi ho rha,cc_limit_increase,adversarial,0.886
104,118,credit card limit itni kam kyun hai badhao,cc limit itni kam kyun h badhao,cc_limit_increase,adversarial,0.849
105,119,zyada shopping karni hai credit card pe allow karo,zyada shopping krni h cc pe allow karo,cc_limit_increase,adversarial,0.864
106,124,mera debit card kho gaya block karo,mera dbt card kho gaya block kro,dc_block_card,messy,0.955
107,125,debit card bhi block kr do mera,dc bhi blok kr do mera,dc_block_card,messy,0.830
108,126,debit card band krwao jldi,debit card band krwao jldi,dc_block_card,messy,1.000
109,127,atm card block kr dijiye,atm card block kr dijiye,dc_block_card,messy,1.000
110,128,mera debit card chori ho gya band karo,mera debit card chori ho gya band karo,dc_block_card,messy,1.000
111,131,mera bank ka card kho gya jo atm mein daalte hai,mera bank ka card kho gya jo atm me daalte h,dc_block_card,adversarial,0.957
112,132,debit card safe nahi hai ab,debit card safe nahi h ab,dc_block_card,adversarial,0.962
113,133,mera wala card band karo jo paise nikalte hai,mera wala card band karo jo paise nikalte h,dc_block_card,adversarial,0.977
114,134,paisa nikalne wala card rok do kisi ne chura liya,paisa nikalne wala card rok do kisi ne chura liya,dc_block_card,adversarial,1.000
