tier,intent,hinglish_original,taen_candidate_1,taen_candidate_2,REVIEWER_FINAL,REVIEWER_NOTE
clean,loan_foreclosure,How to do loan foreclosure,loan foreclosure elaa cheyyali,loan foreclosure procedure emiti,loan foreclosure ela cheyalo cheppu bro,"rendu okay kani ""ela cheyalo cheppu"" is more natural"
clean,cc_pay_bill,I want to pay my CC outstanding amount,naku CC outstanding amount pay chestanu,na CC dues pay cheyali,na CC bill pay cheyali bro,"dues or outstanding kante ""bill"" common ga use chestham"
clean,sec_report_fraud,Someone made a fraudulent transaction on my account,Naa account lo fraudulent transaction chesaru,Naa account fraud transaction aiyyindi,na account lo evaro fraud transaction chesaru ra,"c1 closer but ""evaro"" adds that someone feel"
clean,st_continuation,Show me more options,Mujhe options chalaao,Options chalaao na,inkem options unnayo chupinchu ra,"c2 ""chalaao"" is hinglish, native lo ""chupinchu"" or ""chupiyyi"" better"
clean,acc_mini_statement,Show my mini statement,naa mini statement chupista,naa mini statement chuppali,na mini statement chupinchu bro,"rendu ""chupista/chuppali"" kante direct ""chupinchu"" is genz"
clean,acc_mini_statement,Show last 5 transactions,last 5 transactions chupava,naa account lo last 5 transactions emaina,last 5 transactions chupinchu bro,"c1 ""chupava"" is natural question form"
clean,loan_explore,What loan services are available,Ee loan services emi available,"Loan services ee cheyyoccha balance check, EMI, block card vallu",Loan services ee cheyyoccha balance check EMI block card vallu,"loan lo em em services unnayo cheppu bro,c2 is too long and confused, genz simple ga adugutharu"
clean,loan_emi_details,Show me my loan EMI details,Naa loan EMI details chupista,Naa loan EMI vivaralu chuppali,na loan EMI details chupinchu bro,"""vivaralu"" is formal, genz ""details"" ee use chestharu"
clean,acc_close_account,I want to close my savings account,nenu naa savings account close cheyali,naa savings account close cheyyanu,na savings account close cheyali bro,"c2 ""close cheyyanu"" is wrong, means ""I closed"" not ""I want to"""
clean,cc_limit_increase,Please raise my credit card spending limit,naa credit card limit pedithe raise cheyyandi,naa credit card spending limit perigi raise cheyyali,na credit card limit penchandi bro,"""penchandi"" is pure telugu, ""raise"" hinglish mix kavalante use cheyachu"
messy,st_continuation,aur bhi dikhao,inka dhaa chupista,inka vere dikhavo,inkemaina unnaya chupinchu ra,"rendu ok but ""inkemaina unnaya"" is how we actually ask"
messy,acc_close_account,accnt band krwana h mera,accnt block cheyali meri,mera accnt block cheyyi,na account close cheyali ra,"original ""band"" means close, so ""close"" ee correct, block kaadu"
messy,acc_explore,account ki poori info chahiye,account ki full info cheyali,account full details cheydham,na account gurinchi full details cheppu bro,"""cheydham"" means lets do, genz demands ""cheppu"" (tell)"
messy,cc_limit_increase,credit card pe aur limit chahiye,credit card pe limit mariyalu,credit card limit perigi chalu,na credit card ki inkonchem limit kavali bro,"""inkonchem"" is natural, c1 ""mariyalu"" is confusing"
