tier,intent,hinglish_original,taen_candidate_1,taen_candidate_2,REVIEWER_FINAL,REVIEWER_NOTE
clean,loan_foreclosure,How to do loan foreclosure,loan foreclosure eppadi seiren,loan foreclosure pannurathu eppadi,loan foreclosure epdi panradhu bro?,c2 closest but panradhu more natural than pannurathu
clean,cc_pay_bill,I want to pay my CC outstanding amount,enna credit card outstanding amount pay pannanum,CC outstanding amount pay panna nu ren want,dei en CC outstanding amount pay pannanum da,c2 got the vibe just add dei for genz energy
clean,sec_report_fraud,Someone made a fraudulent transaction on my account,Yaroda fraud transaction panraanga my account la,En account la someone fraud transaction panitu,dei en account la yaaro fraud transaction panitaanga da,c1 is closer yaaro is more natural than yaroda
clean,st_continuation,Show me more options,Vera options kedu pannu,Inniki vera options show pannu,innum vera options kaatu da,c1 kedu is good but kaatu is more natural c2 inniki not needed
clean,acc_mini_statement,Show my mini statement,enna mini statement paakka,my mini statement eduthunga,en mini statement kaatu da,both ok but genz wont say eduthunga or paakka alone kaatu is the word
clean,acc_mini_statement,Show last 5 transactions,Last 5 transaction details kedu bro?,Enna 5 recent transactions ah show pannu,last 5 transaction kaatu bro,c1 kedu bro is literally perfect no changes needed
clean,loan_explore,What loan services are available,enna loan services irruku,loan services enna available,enna enna loan irukku bro?,both are too formal genz asks enna enna for options vibe
clean,loan_emi_details,Show me my loan EMI details,En loan EMI details ta show pannu,Naan loan EMI details enna nu show pannunga,en loan EMI details kaatu da,c1 closest but ta is filler just kaatu is cleaner
clean,acc_close_account,I want to close my savings account,enna savings account close pannanum,savings account close panrean,en savings account ah close pannanum da,c2 close panrean means im closing but original is i want to c1 tense is correct
clean,cc_limit_increase,Please raise my credit card spending limit,Enna credit card limit ah increase pannunga,En credit card spending limit ah raise pannungappa,en credit card limit konjam increase pannunga bro,c2 is good just konjam adds the polite genz request vibe
clean,loan_outstanding,How much loan is remaining,loan how much balance iruku,remaining loan amount enna,loan la evlo balance irukku bro?,c1 is closer evlo is more natural than how much
clean,cc_explore,Show my credit card information,enna credit card details ta,my credit card info eduthunga,en credit card details kaatu da,c2 info is fine but details is what we actually say kaatu better than eduthunga
clean,dc_reset_pin,Change my debit card PIN,Enna debit card PIN change pannunga,Debit card PIN change pannika,en debit card PIN maathi vidu da,maathi vidu is how we say change or replace more natural
clean,cc_unblock_card,Please reactivate my credit card,Enna credit card ah reactivate pannunga,Credit card ah enna reactivate pannu da,en credit card ah thirumba activate pannu da,c2 got the vibe thirumba is more tamil than reactivate
clean,acc_check_balance,Show me my current account balance,enna my current account balance,my current account balance enna iruku,en account la evlo balance irukku nu kaatu,c2 is closest but genz will phrase as question plus command
clean,acc_mini_statement,I want to see my recent transactions,enna recent transactions paakkanum,recent transactions enna pathi paakka pls,recent transactions kaatu bro pls,both ok just combine simplicity of c1 with bro pls energy
clean,dc_replace_card,I need a replacement debit card,enna debit card damage agiachu new card keda,debit card damage agiachu replacement card vendam,en debit card damage aagiduchu puthusu venum da,c1 meaning is right puthusu venum is natural c2 said vendam which means DONT WANT
clean,dc_block_card,My debit card is lost please block it,Enna debit card loss pannitu pls block panre,Debit card adicha loss aachu block pannunga pls,en debit card kaana pochu da block pannu pls,c2 adicha is good but kaana pochu is what we actually say for lost
clean,cc_explore,Tell me about my credit card,enna pa credit card nu solrenga,credit card details enna pa,en credit card pathi sollu pa,c2 is okay but pathi sollu is asking tell me about correctly c1 sounds like asking what is credit card
clean,cc_view_statement,Show my credit card statement,Enna credit card statement paakka,En credit card statement eduthu paakka,en credit card statement kaatu da,both ok kaatu is the real genz word
messy,cc_block_card,mera crd card chori ho gya block karo,enna crd card odichi pochhu block panre,my crd card chori poyachu block pannunga,dei en credit card thirudi pochu da block pannu,c2 chori poyachu is correct c1 odichi pochhu means BROKEN
messy,cc_explore,cc ke baare mein btao sab,cc pathi solranga pa epdi iruku,cc vera yaaruku theriyuma details solnga,dei cc pathi full details sollu pa,c2 adds extra stuff genz just demands directly full details sollu
messy,upi_send,upi se 2000 bhejdo yaar,upi la 2000 pannu yaar,upi thru 2000 send pannu da,dei upi la 2000 anuppu da,c2 is close anuppu is pure tamil for send thru is english mix
messy,acc_close_account,khata close krdo mera savings wala,account close pannu da enna savings wala,enna savings account ah close pannu da,en savings account ah close pannu da,c2 is almost perfect just remove enna and keep en
messy,cc_explore,credit card ke options dikhao,credit card options paakka tharao,credit card options enna iruku paakka,credit card options enna iruku nu kaatu,c2 is close add nu kaatu makes it complete
messy,cc_unblock_card,mera cc block h usko kholo,enna cc block aachu open pannu,my cc block aagitu eppadi open panren,en cc block aagiduchu da thirumba open pannu,c2 meaning is close but eppadi open panren means how do i open original is open it
messy,dc_block_card,mera dbt card kho gaya block kro,enna dbt card missing da block pannunga,en dbt card loss da block cheyyi,en debit card kaana pochu da block pannu,kaana pochu is the most natural tamil phrase for lost
