tier,query,gold,predictions_across_configs,dataset_notes,VERDICT(gold_ok/gold_wrong/ambiguous)
adversarial,4 digit wala code bhool gya card ka,dc_reset_pin,out_of_scope×4,'4 digit code' describes PIN without saying it,
clean,Show my debit card details,dc_explore,dc_card_details×9,,
adversarial,account me kya scene h,acc_check_balance,acc_explore×5; out_of_scope×3; acc_mini_statement×1,Slang — 'kya scene h' is very vague,
messy,aur kya kya hai,st_continuation,out_of_scope×8,,
adversarial,baaki kya hai,st_continuation,acc_check_balance×8,'baaki' = remaining — implies more exists,
adversarial,bank ka sab hisab saaf karo loan wala,loan_foreclosure,out_of_scope×9,'hisab saaf karo' = clear all accounts,
adversarial,card band tha ab kholo,cc_unblock_card,out_of_scope×9,No 'unblock' keyword — 'kholo' = open,
adversarial,cc chalana h wapas,cc_unblock_card,out_of_scope×6; cc_check_limit×3,"'chalana' = operate/run, very colloquial",
messy,cc ka bill de do mera,cc_pay_bill,cc_view_statement×9,,
messy,cc ka hisab btao kitna kata,cc_view_statement,cc_application_status×7; cc_explore×2,,
adversarial,cc pe kya kya laga hai,cc_view_statement,cc_explore×4; cc_convert_emi×3; out_of_scope×2,Colloquial — 'kya laga hai' = what charges,
adversarial,chhod raha hu bank,acc_close_account,pay_failed_transaction×9,Slang — 'leaving the bank' implies closure,
adversarial,credit card chhota pad rha h,cc_limit_increase,dc_replace_card×7,"'chhota pad rha' = falling short, implies limit increase",
adversarial,credit card ka lena dena btao,cc_view_statement,cc_explore×6; cc_minimum_due×2; cc_application_status×1,"'lena dena' = transactions, vague",
adversarial,dobara activate karo credit card,cc_unblock_card,out_of_scope×8; cc_activate_card×1,Could confuse with cc_activate_card (new card activation),
adversarial,kitna bacha mera,acc_check_balance,out_of_scope×7,"Very short, no account/balance keyword",
adversarial,loan ka bojh kitna h mahine ka,loan_emi_details,out_of_scope×6,"'bojh' = burden, colloquial",
adversarial,loan ka scene khatam karo,loan_foreclosure,out_of_scope×9,Slang — 'scene khatam karo',
adversarial,loan kab khatam hoga kitna bcha,loan_outstanding,loan_tenure_remaining×9,Two questions in one — tenure + outstanding,
messy,loan ki kist kitni h meri,loan_emi_details,out_of_scope×6,,
adversarial,mera atm card kaam nhi kr rha naya dedo,dc_replace_card,out_of_scope×6,'kaam nahi kar raha' could be tech issue or physical damage,
adversarial,mera card ghis gya naya bhejo,dc_replace_card,cc_replace_card×6; out_of_scope×3,"'ghis gya' = worn out, colloquial",
adversarial,mera cc kaam nahi kr rha chalu karo,cc_unblock_card,out_of_scope×6; cc_set_contactless×3,Could be unblock or technical issue,
adversarial,mera cc se bada payment nahi ho rha,cc_limit_increase,cc_pay_bill×8; cc_payment_due×1,Complaint framing that implies limit increase need,
messy,mera crd card chori ho gya block karo,cc_block_card,out_of_scope×6,,
adversarial,mera khata dikhao pura,acc_explore,acc_detailed_statement×7; out_of_scope×2,'khata dikhao pura' = show full account,
adversarial,mera plastic card btao credit wala,cc_explore,cc_block_card×5; out_of_scope×3; cc_apply_new×1,'plastic card' — unusual phrasing for explore,
messy,mera savings account dikhao,acc_explore,acc_mini_statement×4; acc_check_balance×2; out_of_scope×2,,
adversarial,mere card ka number yaad nahi jo atm me daalte h,dc_reset_pin,dc_card_details×9,"'number' instead of PIN, describes ATM usage",
messy,naya debit card chahiye mujhe,dc_replace_card,dc_apply_new×9,,
adversarial,paiso ka lena dena dikhao,acc_mini_statement,out_of_scope×9,Colloquial — 'lena dena' = transactions,
adversarial,pese h ya nhi,acc_check_balance,pay_transfer_status×6; pay_transfer×3,"Y/N framing, no explicit balance word",
adversarial,poora karza nipta do aaj hi,loan_foreclosure,out_of_scope×6,'karza nipta do' = settle all debt,
adversarial,purana card chhodo naya do,dc_replace_card,out_of_scope×9,"'chhodo' = forget it, very colloquial",
adversarial,sab batao poora,st_continuation,acc_explore×3; out_of_scope×3,'sab batao' = tell everything — continuation from partial info,
adversarial,sab khatam karo mera,acc_close_account,st_continuation×9,Very vague — 'sab khatam' could mean anything,
messy,suspicous txn dikha rha h mera ac,sec_report_fraud,out_of_scope×3; acc_mini_statement×1,,
adversarial,zyada shopping krni h cc pe allow karo,cc_limit_increase,dc_check_limit×6; out_of_scope×3,'allow karo' = very indirect limit increase,
