"tier","intent","hinglish_original","taen_candidate_1","taen_candidate_2","REVIEWER_FINAL","REVIEWER_NOTE"
"clean","loan_foreclosure","How to do loan foreclosure","loan foreclosure eppadi seiren","loan foreclosure pannurathu eppadi","loan foreclosure eppadi pannanum",""
"clean","cc_pay_bill","I want to pay my CC outstanding amount","enna credit card outstanding amount pay pannanum","CC outstanding amount pay panna nu ren want","credit card outstanding amount pay pannanum",""
"clean","sec_report_fraud","Someone made a fraudulent transaction on my account","Yaroda fraud transaction panraanga my account la","En account la someone fraud transaction panitu","yaroda fraud transaction panraanga en account la",""
"clean","st_continuation","Show me more options","Vera options kedu pannu","Inniki vera options show pannu","vera options kudu",""
"clean","acc_mini_statement","Show my mini statement","enna mini statement paakka","my mini statement eduthunga","mini statement paakka",""
"clean","acc_mini_statement","Show last 5 transactions","Last 5 transaction details kedu bro?","Enna 5 recent transactions ah show pannu","last 5 transactions show pannu",""
"clean","loan_explore","What loan services are available","enna loan services irruku","loan services enna available","loan services enna irruku",""
"clean","loan_emi_details","Show me my loan EMI details","En loan EMI details ta show pannu","Naan loan EMI details enna nu show pannunga","loan EMI details show pannu",""
"clean","acc_close_account","I want to close my savings account","enna savings account close pannanum","savings account close panrean","savings account close pannanum",""
"clean","cc_limit_increase","Please raise my credit card spending limit","Enna credit card limit ah increase pannunga","En credit card spending limit ah raise pannungappa","credit card limit increase pannunga",""
"clean","loan_outstanding","How much loan is remaining","loan how much balance iruku","remaining loan amount enna","loan balance enna iruku",""
"clean","cc_explore","Show my credit card information","enna credit card details ta","my credit card info eduthunga","credit card details eduthu paakka",""
"clean","dc_reset_pin","Change my debit card PIN","Enna debit card PIN change pannunga","Debit card PIN change pannika","debit card PIN change pannanum",""
"clean","cc_unblock_card","Please reactivate my credit card","Enna credit card ah reactivate pannunga","Credit card ah enna reactivate pannu da","credit card reactivate pannunga",""
"clean","acc_check_balance","Show me my current account balance","enna my current account balance","my current account balance enna iruku","current account balance enna iruku",""
"clean","acc_mini_statement","I want to see my recent transactions","enna recent transactions paakkanum","recent transactions enna pathi paakka pls","recent transactions paakkanum",""
"clean","dc_replace_card","I need a replacement debit card","enna debit card damage agiachu, new card keda","debit card damage agiachu, replacement card vendam","debit card damage aachu, new card venum",""
"clean","dc_block_card","My debit card is lost, please block it","Enna debit card loss pannitu, pls block panre","Debit card adicha loss aachu, block pannunga pls","debit card loss aachu, block pannunga pls",""
"clean","cc_explore","Tell me about my credit card","enna pa credit card nu solrenga","credit card details enna pa","credit card details enna pa",""
"clean","cc_view_statement","Show my credit card statement","Enna credit card statement paakka","En credit card statement eduthu paakka","credit card statement paakka",""
"messy","cc_block_card","mera crd card chori ho gya block karo","enna crd card odichi pochhu, block panre","my crd card chori poyachu, block pannunga","credit card odichi pochu, block pannunga pls",""
"messy","cc_explore","cc ke baare mein btao sab","cc pathi solranga pa, epdi iruku","cc vera yaaruku theriyuma, details solnga","credit card pathi full details sollu pa",""
"messy","upi_send","upi se 2000 bhejdo yaar","upi la 2000 pannu yaar","upi thru 2000 send pannu da","upi la 2000 send pannu da",""
"messy","acc_close_account","khata close krdo mera savings wala","account close pannu da enna savings wala","enna savings account ah close pannu da","savings account close pannu da",""
"messy","cc_explore","credit card ke options dikhao","credit card options paakka tharao","credit card options enna iruku paakka","credit card options enna iruku show pannu",""
"messy","cc_unblock_card","mera cc block h usko kholo","enna cc block aachu, open pannu","my cc block aagitu, eppadi open panren","cc block aachu, enable pannu da",""
"messy","dc_block_card","mera dbt card kho gaya block kro","enna dbt card missing da block pannunga","en dbt card loss da block cheyyi","debit card loss aachu, block pannunga",""
"messy","st_continuation","aur options btao","anna options solunga","inna options theriyuma","vera options sollu pa",""
"messy","pay_transfer","amir ko 2000 trf krdo abhi","amir ku 2000 trf pannu abhi","amir idhuku 2000 trf panrean da abhi","amir ku 2000 trf pannu da abhi",""
"messy","acc_mini_statement","haal ki activity dikhao account ki","naala account activity dikhao","account la naala transaction dikhao","account la recent transactions show pannu",""
"messy","dc_block_card","debit card block karo turant","debit card block pannu turant","debit card block seiya","debit card block pannu turant",""
"messy","acc_mini_statement","last few transactions btao","last few transactions ketka solu","recent transactions epdi iruku","last few transactions show pannu",""
"messy","cc_unblock_card","cc enable karo dobara","cc enable pannu pa dude","cc enable panitu da repeat","cc enable pannu da",""
"messy","dc_reset_pin","atm pin change chahiye naya","atm pin change pannanum new","atm pin new set pannanum","atm pin new set pannanum",""
"messy","upi_send","gopi ko upi se 800 bhejo","gopi ku upi la 800 pannu","gopi idhuku upi tharava 800 anuppu","gopi ku upi la 800 pannu",""
"messy","cc_view_statement","credit card ka bill kitna aaya","credit card bill eththana varuthu","credit card bill enna amount varuthu","credit card bill eththana varuthu",""
"messy","cc_unblock_card","card reactivate krna h credit wala","card reactivate pannanum credit ku","credit card reactivate panra h nu sonna","credit card reactivate pannanum",""
"messy","loan_emi_details","emi ka amount btao next wala","emi amount enna next ah","next emi amount theriyuma","next emi amount enna",""
"messy","cc_pay_bill","cc ka bill de do mera","cc bill podunga mere","mere cc bill de do","cc bill pay pannanum",""
"messy","cc_block_card","credit card band karo turant","credit card block pannu turant","credit card adicha shutdown pannu","credit card block pannu turant",""
"messy","cc_pay_bill","mera cc ka dues pay krdo","enna cc dues pay panniten","my cc dues pay panrom","cc dues pay pannanum",""
"messy","loan_foreclosure","foreclosure krwani h loan ki","foreclosure pannanum loan ah","loan foreclosure panitom","loan foreclosure pannanum",""
"messy","cc_block_card","jldi se cc block kro plzz","jaldi cc block pannu pls","urjent ah cc block panre plz","jaldi cc block pannu pls",""
"messy","acc_close_account","account band karo mera","account block pannuunga pa","account lock panrein pa","account close pannu da",""
"messy","cc_explore","credit card services kya kya hain","credit card services enna enna","credit card services yaan yaan iruku","credit card services enna enna iruku",""
"messy","cc_limit_increase","credit card ki limit kam pad rhi h badhao","credit card limit kamaa irukku badhava solra","credit card limit kammi irukku enna increase pannuvinga","credit card limit kammi irukku, increase pannunga",""
"messy","acc_explore","mere account ke baare mein btao","enna my account nu solre","my account details solungada","account details sollu da",""
"messy","loan_outstanding","mere loan me kitna baki h","enna loan la balance edhu","en loan ah baki ya edhu","loan balance enna iruku",""
"messy","dc_replace_card","debit card ki replacement chahiye","debit card replacement venum","debit card replace pannanum","debit card replacement venum",""
"messy","cc_limit_increase","credit card pe aur limit chahiye","credit card la limit increase pannanum","en credit card ku aur limit venum","credit card ku aur limit venum",""
"adversarial","dc_explore","mera paisa nikalne wala card btao","enna cash eduthukku use panra card","en card la irukku balance withdraw pannalam","cash eduthukku use panra card enna",""
"adversarial","dc_block_card","atm card gayab h rok do","atm card oda pochi rok do","atm card adichcha block pannu","atm card loss aachu, block pannu",""
"adversarial","loan_emi_details","next payment kitna aayega","next payment eththa varum","next payment edhuvum aayum","next payment eththana varum",""
"adversarial","pay_transfer","amount move karo dusre account me","amount move pannu dusre account la","dusre account ku amount move panre","amount move pannu dusre account la",""
"adversarial","loan_emi_details","loan ka bojh kitna h mahine ka","loan amount enna mahine ka","loan bojh enna mahina ku","loan emi mahine ku enna",""
"adversarial","dc_replace_card","debit card expire ho gya ab kya","debit card expire aachula enna panren","debit card expire aagiduchu naa enna pannanum","debit card expire aachu, enna pannanum",""
"adversarial","cc_limit_increase","cc limit itni kam kyun h badhao","cc limit romba kam ya kyun iruku increase pannunga","cc limit enna romba kam nu iruku adhikam pannunga","cc limit romba kam ya kyun iruku, increase pannunga",""
"adversarial","cc_pay_bill","credit card ka hisab clear karo","credit card hisab clear pannu","credit card balance clear panre","credit card hisab clear pannu",""
"adversarial","cc_explore","credit card ka sab kuch dikhao","credit card details pathi sollu","credit card va full info dhan theriyuda","credit card full details sollu",""
"adversarial","cc_unblock_card","dobara activate karo credit card","dobra credit card activate pannu","credit card dobra active pannu","credit card activate pannu da",""
